repetitions,threads,64,128,256,512,1024
100,1,1963,19647,24590,89696,373322
100,2,1546,4058,14740,85852,191790
100,4,4929,3837,17487,73879,179983
100,8,15424,17966,36631,69911,228897
500,1,9719,34504,115618,445079,1886163
500,2,7099,19106,61310,429898,955985
500,4,9374,18332,60817,313051,879179
500,8,55029,98311,113140,308444,939869
1000,1,19044,63467,228648,895515,4139015
1000,2,13313,35632,121853,872859,1904156
1000,4,12539,37544,120441,738733,1773496
1000,8,136924,192683,247119,594148,2024986
5000,1,88813,300655,1127861,4772416,18598640
5000,2,62162,171200,604297,5236317,10330476
5000,4,63060,164813,574122,3542136,10260428
5000,8,582886,773454,1143746,2892893,10673953
10000,1,174221,603756,2271176,8922977,36950692
10000,2,123064,343914,1210990,8703419,21070516
10000,4,123236,332001,1162823,6686565,20375526
10000,8,1145105,1347662,2105795,7251546,21387032
50000,1,855457,2989512,11445008,45717356,189217490
50000,2,612258,1713298,6275821,29240735,108795970
50000,4,581961,1615258,5974558,26065779,103802015
50000,8,5688403,6673528,10843363,31626335,108808350
